RucProveedor;CodFactura;ProductoFactura;UnidadFactura;CostoFactura;CodProducto;Producto;Marca;Categoria;UnidadMedidaCompra;FactorVenta;TipoResultado;ScoreFinal;Rank
20289907743;018917;RECARGA Y MANT. EXT. PQS 09 KGS;UNIDAD;65.0;47013;MOPA VIRUTEX RED SINTETICA EXT CLASICA RPTO;VIRUTEX;LIMPIEZA;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.3407908062221089;1
20613636341;018917;RECARGA Y MANT. EXT. PQS 09 KGS;UNIDAD;65.0;52117;GOMAS MOGUL TUBITOS EXT TUTT 70 GR;MOGUL;GOLOSINAS;UNIDAD;1.0;ALTERNATIVA;0.3056343631311428;2
20601538165;018917;RECARGA Y MANT. EXT. PQS 09 KGS;UNIDAD;65.0;32489;ALIMENTO PERROS ENVASADOS DOG CHOW MINI Y PEQUEÑO 8 KG;DOG CHOW;MASCOTA;UNIDAD;1.0;ALTERNATIVA;0.2983068291189671;3
20493654463;028912;RECARGA Y MENTT. DE EXTINTOR CO2 05 LBRS;UNIDAD;50.0;39172;ENSALADA DE FRUTAS UND.;;FRUTAS;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.39552870375809757;1
20451319800;028912;RECARGA Y MENTT. DE EXTINTOR CO2 05 LBRS;UNIDAD;50.0;10654;MAQUINA DE AFEITAR GILLETTE PRESTOBARBA 3;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.3605297713995559;2
20601538165;028912;RECARGA Y MENTT. DE EXTINTOR CO2 05 LBRS;UNIDAD;50.0;50471;MAQUINA DE AFEITAR GILLETTE VENUS INTIMA 2 CT;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.35721061795043946;3
20493654463;017898;RECARGA Y MANT. DE EXT. PQS 06 KG.;UNIDAD;50.0;37672;ESENCIA DE MARACUYA 500 ML/RINDE 6 LT.;_;ESENCIA;UNIDAD;1.0;TENTATIVO;0.4202209661130552;1
20493654463;017898;RECARGA Y MANT. DE EXT. PQS 06 KG.;UNIDAD;50.0;40641;TABLA GUAZUMA DE SERVIR;GUAZUMA;COCINA;UNIDAD;1.0;ALTERNATIVA;0.3476250801189777;2
20608225901;017898;RECARGA Y MANT. DE EXT. PQS 06 KG.;UNIDAD;50.0;40645;PIZZERA GUAZUMA DE CAPIRONA;GUAZUMA;COCINA;UNIDAD;1.0;ALTERNATIVA;0.3473003776223776;3
20493654463;159533;SERV.DE PRUEBA HIDROSTATICA;UNIDAD;35.0;40641;TABLA GUAZUMA DE SERVIR;GUAZUMA;COCINA;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.28092850249142526;1
20528367519;159533;SERV.DE PRUEBA HIDROSTATICA;UNIDAD;35.0;30468;SARTEN WOK ANTIADH REDBLUE CON TAPA ILKO 24 CM.;ILKO;COCINA;UNIDAD;1.0;ALTERNATIVA;0.1891483031645948;2
20601538165;159533;SERV.DE PRUEBA HIDROSTATICA;UNIDAD;35.0;49485;MAQUINA DE AFEITAR GILLETTE DERMA PROTECCION 4 CARTUCHOS;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.17648578574133422;3
20607279790;027910;RECARGA Y MANT. EXT. PQS 12 KGS;UNIDAD;100.0;47816;ARENA PUFFYCAT SANITARIA CLASICA CON CARBON ACTIVO 12 KG;PUFFYCAT;MASCOTA;UNIDAD;1.0;TENTATIVO;0.42252992565262115;1
20289907743;027910;RECARGA Y MANT. EXT. PQS 12 KGS;UNIDAD;100.0;47013;MOPA VIRUTEX RED SINTETICA EXT CLASICA RPTO;VIRUTEX;LIMPIEZA;UNIDAD;1.0;ALTERNATIVA;0.3407625624945103;2
20493654463;027910;RECARGA Y MANT. EXT. PQS 12 KGS;UNIDAD;100.0;36185;ESENCIA MARACUYA 1 LT/RINDE 12 LT;_;ESENCIA;UNIDAD;1.0;ALTERNATIVA;0.3316938483438524;3
20493654463;028913;RECARGA Y MANTT. DE EXTINTOR CO2 10 LBRS;UNIDAD;65.0;39172;ENSALADA DE FRUTAS UND.;;FRUTAS;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.39494780336600505;1
20493654463;028913;RECARGA Y MANTT. DE EXTINTOR CO2 10 LBRS;UNIDAD;65.0;40641;TABLA GUAZUMA DE SERVIR;GUAZUMA;COCINA;UNIDAD;1.0;ALTERNATIVA;0.37779839599167125;2
